version,split,class_name,image_name,mse,psnr,ssim,used_blocks
v2_adaptive,train,glioma,Tr-gl_1.jpg,0.0109710693359375,67.72831401108726,0.9998375473134498,1
v2_adaptive,train,glioma,Tr-gl_10.jpg,0.0048980712890625,71.23055259086738,0.9999773432005609,0
v2_adaptive,train,glioma,Tr-gl_100.jpg,0.009002685546875,68.58708279849465,0.9998675621452899,2
v2_adaptive,train,glioma,Tr-gl_1000.jpg,0.0321502685546875,63.05895755883509,0.9994391229816108,4
v2_adaptive,train,glioma,Tr-gl_1001.jpg,0.00347900390625,72.71625444491156,0.9999700498681228,4
v2_adaptive,train,glioma,Tr-gl_1002.jpg,0.00384521484375,72.28159750710066,0.9999635819221412,4
v2_adaptive,train,glioma,Tr-gl_1003.jpg,0.0122528076171875,67.24844746212929,0.999820814225202,3
v2_adaptive,train,glioma,Tr-gl_1004.jpg,0.0028228759765625,73.62388563088595,0.999986204052015,4
v2_adaptive,train,glioma,Tr-gl_1005.jpg,0.006805419921875,69.80225432779467,0.9998896944333638,5
v2_adaptive,train,glioma,Tr-gl_1006.jpg,0.009796142578125,68.22025263422756,0.9998444687929086,2
v2_adaptive,train,glioma,Tr-gl_1007.jpg,0.0057830810546875,70.50921081523538,0.9999406503743115,4
v2_adaptive,train,glioma,Tr-gl_1008.jpg,0.022735595703125,64.56374023079336,0.9994643621373264,7
v2_adaptive,train,glioma,Tr-gl_1009.jpg,0.009979248046875,68.13982543167343,0.9998866524668085,1
v2_adaptive,train,glioma,Tr-gl_101.jpg,0.0048980712890625,71.23055259086738,0.999980320464097,2
v2_adaptive,train,glioma,Tr-gl_1010.jpg,0.01123046875,67.62682477154111,0.9998177895439059,2
v2_adaptive,train,glioma,Tr-gl_1011.jpg,0.0084381103515625,68.86835160186911,0.9999115923972504,1
v2_adaptive,train,glioma,Tr-gl_1012.jpg,0.005157470703125,71.00643591213955,0.9999850879437014,0
v2_adaptive,train,glioma,Tr-gl_1013.jpg,0.00927734375,68.45656712218874,0.9998692339594064,4
v2_adaptive,train,glioma,Tr-gl_1014.jpg,0.005035400390625,71.11046351613722,0.9999879197099455,0
v2_adaptive,train,glioma,Tr-gl_1015.jpg,0.0042724609375,71.82402260149391,0.9999868577784272,0
v2_adaptive,train,glioma,Tr-gl_1016.jpg,0.006744384765625,69.84138022142518,0.9999248002561679,4
v2_adaptive,train,glioma,Tr-gl_1017.jpg,0.001739501953125,75.72655440155137,0.9999928146963909,4
v2_adaptive,train,glioma,Tr-gl_1018.jpg,0.0155792236328125,66.205345494047,0.9997701580514788,2
v2_adaptive,train,glioma,Tr-gl_1019.jpg,0.008758544921875,68.70648399093636,0.9999042782198025,4
v2_adaptive,train,glioma,Tr-gl_102.jpg,0.019378662109375,65.25756570535653,0.9996959123138023,4
v2_adaptive,train,glioma,Tr-gl_1020.jpg,0.00958251953125,68.31600647754414,0.999959703865662,1
v2_adaptive,train,glioma,Tr-gl_1021.jpg,0.0142059326171875,66.60610610510267,0.999769150072159,2
v2_adaptive,train,glioma,Tr-gl_1022.jpg,0.0079193115234375,69.14392933643151,0.9999023696220294,2
v2_adaptive,train,glioma,Tr-gl_1023.jpg,0.0052642822265625,70.91741196418336,0.9999848042464866,0
v2_adaptive,train,glioma,Tr-gl_1024.jpg,0.0058135986328125,70.4863531581599,0.999927455106879,2
v2_adaptive,train,glioma,Tr-gl_1025.jpg,0.0117950439453125,67.41380797573284,0.9997234097766128,5
v2_adaptive,train,glioma,Tr-gl_1026.jpg,0.0024261474609375,74.28163167171158,0.9999894268111947,2
